,track name,artists,album,release year,track id,popularity
0,Self Control,Frank Ocean,Blonde,2016,5GUYJTQap5F3RDQiCOJhrS,75
1,Combien de temps,"Christine and the Queens, Rahim Redcar",Redcar les adorables étoiles (prologue),2022,61efs5Och14QW9lspob2or,15
2,Pink + White,Frank Ocean,Blonde,2016,3xKsf9qdS1CyvXSMEid6g8,84
3,Weird Fishes / Arpeggi,Radiohead,In Rainbows,2007,4wajJ1o7jWIg62YqpkHC7S,72
4,What They Call Us,Fever Ray,Radical Romantics,2023,60u9zGVY5OwPlZc9IJW5Cg,29
5,Speechless,Lady Gaga,The Fame Monster (UK Deluxe),2009,36ebL42b6QAqitgzbkIjw5,35
6,The Edge Of Glory,Lady Gaga,Born This Way (International Special Edition Version),2011,57F80059mWaWFvWG3tBTbO,66
7,Hey Girl,"Lady Gaga, Florence Welch",Joanne (Deluxe),2016,554PnB96IltLzVlbinBstw,51
8,Alejandro,Lady Gaga,The Fame Monster (UK Deluxe),2009,0iOu4s8w3pE9vbpb1SHXsL,54
9,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (UK Deluxe),2009,6nCDnzErqalOaIY3EJM8NK,59
10,G.U.Y.,Lady Gaga,ARTPOP,2013,4rYLpaNFzt6pkQnrCvVHUw,65
11,Hair,Lady Gaga,Born This Way (International Special Edition Version),2011,4u8q2Gddnu8jqCFzxm5IZs,51
12,Marry The Night,Lady Gaga,Born This Way (International Special Edition Version),2011,02d1E4NRuh7OEQO4vCb9PD,60
13,You And I,Lady Gaga,Born This Way (International Special Edition Version),2011,1ADciGUxOaUbBFd0rpYx7d,58
14,911,Lady Gaga,Chromatica,2020,6qI0MU175Dk2DeoUjlrOpy,62
15,"Beautiful, Dirty, Rich",Lady Gaga,The Fame,2008,0Bjr5EAEa5YxfSHHWzZmds,49
16,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),2020,24ySl2hOPGCDcxBxFIqWBu,66
17,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),2020,6R6ZoHTypt5lt68MWbzZXv,59
18,A-YO,Lady Gaga,Joanne (Deluxe),2016,6Az2Ll2CPnWYQ2BgiHf4Di,51
19,Bloody Mary,Lady Gaga,Born This Way (International Special Edition Version),2011,53jnnqFSRGMDB9ADrNriCA,72
20,aRTPOP,Lady Gaga,ARTPOP,2013,73zDQykFwu3yT5VQ6MwYbh,56
21,LoveGame,Lady Gaga,The Fame,2008,0eH2eHURaXUP15D8gQlfjx,71
22,Alice,Lady Gaga,Chromatica,2020,41A89rj3GoMG6ktN37L7PG,57
23,Judas,Lady Gaga,Born This Way (International Standard Version),2011,4yQmDtjax2Ye9wY8EPAO1x,59
24,Applause,Lady Gaga,ARTPOP,2013,5ka2ajep9OAvU5Sgduhiex,74
25,Bad Romance,Lady Gaga,The Fame Monster (UK Deluxe),2009,5WFIK6GKHpNXfjlH3BSnep,43
26,Dancin' In Circles,Lady Gaga,Joanne (Deluxe),2016,0lqcnnclUdVbPPboOldEPp,50
27,Disease,Lady Gaga,Disease,2024,19KlZwqlT3fguP2BeHF1Q1,82
28,Venus,Lady Gaga,ARTPOP,2013,3n3S5cH3IyaOswY2XSUGTS,61
29,Bad Kids,Lady Gaga,Born This Way (International Special Edition Version),2011,3V0kjls4TwzpkhTfILFiCj,43
30,All I Want,Mis-Teeq,Lickin' On Both Sides,2001,40FFyvBiecWpeKjXHgCRsr,27
31,Peach Fuzz,"Tyler, The Creator",Peach Fuzz,2018,0F58GE2TtHBim5o4ZTQUwK,52
32,435,"Tyler, The Creator",435,2018,5xJeZ6tLPOXNIrrphEIuay,57
33,Small Worlds,Mac Miller,Swimming,2018,4gT3mNJA8lnlkYFqGZ8IA2,72
34,Atomic Vomit,Steve Lacy,The Lo-Fis,2020,3YBfHJTZPHn5DqgMnD6g5g,64
35,EARFQUAKE,"Tyler, The Creator",IGOR,2019,5hVghJ4KaYES3BFUATCYn0,80
36,"Love, of Money",MAVI,Let the Sun Talk,2019,6qUkNMd34rjpDP5EUy9JNS,60
37,Uuuu,Steve Lacy,The Lo-Fis,2020,6M0EP76qW9TG4SNU0agu94,72
38,Almeda,Solange,When I Get Home,2019,6IAgarq2wDeYzpsY2Kx0Hw,58
39,Fazers,King Geedorah,Take Me To Your Leader,2003,1R28m5eWk1EV9FQ3puWrUp,57
40,Cream,Aaron May,CHASE,2019,4O89rUWrGgWYKaHJUOp314,63
41,I THINK,"Tyler, The Creator",IGOR,2019,4f8Mh5wuWHOsfXtzjrJB3t,70
42,Meat Grinder,"Madvillain, Madlib, MF DOOM",Madvillainy,2004,4WM1hvYr2NC6bQnQXcj3sH,62
43,Top Steppa V2 (feat. Nightmares On Wax),"Greentea Peng, Nightmares On Wax",Top Steppa V2 (feat. Nightmares On Wax),2022,4ptwKUD9Tsbi5Tz5MVehvy,29
44,DOGTOOTH,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,2023,6OfOzTitafSnsaunQLuNFw,68
45,Treehome95 (feat. Coco O. & Erykah Badu),"Tyler, The Creator, Coco O., Erykah Badu",Wolf,2013,2vLwhcsvRd1f2ETft1kWDN,57
46,Biking,"Frank Ocean, JAY-Z, Tyler, The Creator",Biking,2017,2q0VexHJirnUPnEOhr2DxK,65
47,Can I Call You Rose?,Thee Sacred Souls,Thee Sacred Souls,2022,6IAuH3hgTRpUUdmOGubXGS,71
48,In My Room,Frank Ocean,In My Room,2019,4S4Mfvv03M1cHgIOJcbUCL,69
49,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis, Tyler, The Creator, Bootsy Collins",Isolation,2018,1otG6j1WHNvl9WgXLWkHTo,78
50,I Hate Everything (feat. Action Bronson),"The Alchemist, Action Bronson",The Food Villain,2020,67eqrRkxp2ED26CEqvqbDv,54
51,Sunshine (feat. Fousheé),"Steve Lacy, Fousheé",Gemini Rights,2022,14Q7Qja4PJwjMsKdBZcnww,60
52,Ballrooms Of Mars,T. Rex,The Slider,1972,5HAOJdzhQj33hrosuzzfoK,33
53,Ballrooms of Mars - L.A Radio Session,T. Rex,"Total T.Rex, Vol. 1",2010,5OLdjuETAVQfm3nE8Q5gmx,3
54,Ballrooms Of Mars - Acoustic Session,Marc Bolan,Skycloaked Lord (Of Precious Light),2017,0WGJLfkhWpB7sU0D0spIxu,2
55,Ballrooms Of Mars,T. Rex,Acoustic,2007,6mbFY5b8fxAhhFi5xvfl8h,0
56,Ballrooms of Mars - 2012 Remaster,T. Rex,The Slider (The Visconti Master),1972,0zXR2wUpFVIEJUaYos7vwc,15
