,track name,artists,album,release year,playlist name,track id,playlist id,popularity
0,Speechless,Lady Gaga,The Fame Monster (UK Deluxe),2009,Gaga in order,36ebL42b6QAqitgzbkIjw5,1VK03kdKyRNc86QkdqFmj9,34
1,The Edge Of Glory,Lady Gaga,Born This Way (International Special Edition Version),2011,Gaga in order,57F80059mWaWFvWG3tBTbO,1VK03kdKyRNc86QkdqFmj9,66
2,Hey Girl,"Lady Gaga, Florence Welch",Joanne (Deluxe),2016,Gaga in order,554PnB96IltLzVlbinBstw,1VK03kdKyRNc86QkdqFmj9,50
3,Alejandro,Lady Gaga,The Fame Monster (UK Deluxe),2009,Gaga in order,0iOu4s8w3pE9vbpb1SHXsL,1VK03kdKyRNc86QkdqFmj9,54
4,Telephone,"Lady Gaga, Beyoncé",The Fame Monster (UK Deluxe),2009,Gaga in order,6nCDnzErqalOaIY3EJM8NK,1VK03kdKyRNc86QkdqFmj9,59
5,G.U.Y.,Lady Gaga,ARTPOP,2013,Gaga in order,4rYLpaNFzt6pkQnrCvVHUw,1VK03kdKyRNc86QkdqFmj9,65
6,Hair,Lady Gaga,Born This Way (International Special Edition Version),2011,Gaga in order,4u8q2Gddnu8jqCFzxm5IZs,1VK03kdKyRNc86QkdqFmj9,50
7,Marry The Night,Lady Gaga,Born This Way (International Special Edition Version),2011,Gaga in order,02d1E4NRuh7OEQO4vCb9PD,1VK03kdKyRNc86QkdqFmj9,59
8,You And I,Lady Gaga,Born This Way (International Special Edition Version),2011,Gaga in order,1ADciGUxOaUbBFd0rpYx7d,1VK03kdKyRNc86QkdqFmj9,58
9,911,Lady Gaga,Chromatica,2020,Gaga in order,6qI0MU175Dk2DeoUjlrOpy,1VK03kdKyRNc86QkdqFmj9,62
10,"Beautiful, Dirty, Rich",Lady Gaga,The Fame,2008,Gaga in order,0Bjr5EAEa5YxfSHHWzZmds,1VK03kdKyRNc86QkdqFmj9,49
11,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),2020,Gaga in order,24ySl2hOPGCDcxBxFIqWBu,1VK03kdKyRNc86QkdqFmj9,66
12,Sour Candy (with BLACKPINK),"Lady Gaga, BLACKPINK",Sour Candy (with BLACKPINK),2020,Gaga in order,6R6ZoHTypt5lt68MWbzZXv,1VK03kdKyRNc86QkdqFmj9,58
13,A-YO,Lady Gaga,Joanne (Deluxe),2016,Gaga in order,6Az2Ll2CPnWYQ2BgiHf4Di,1VK03kdKyRNc86QkdqFmj9,50
14,Bloody Mary,Lady Gaga,Born This Way (International Special Edition Version),2011,Gaga in order,53jnnqFSRGMDB9ADrNriCA,1VK03kdKyRNc86QkdqFmj9,72
15,aRTPOP,Lady Gaga,ARTPOP,2013,Gaga in order,73zDQykFwu3yT5VQ6MwYbh,1VK03kdKyRNc86QkdqFmj9,56
16,LoveGame,Lady Gaga,The Fame,2008,Gaga in order,0eH2eHURaXUP15D8gQlfjx,1VK03kdKyRNc86QkdqFmj9,70
17,Alice,Lady Gaga,Chromatica,2020,Gaga in order,41A89rj3GoMG6ktN37L7PG,1VK03kdKyRNc86QkdqFmj9,57
18,Judas,Lady Gaga,Born This Way (International Standard Version),2011,Gaga in order,4yQmDtjax2Ye9wY8EPAO1x,1VK03kdKyRNc86QkdqFmj9,58
19,Applause,Lady Gaga,ARTPOP,2013,Gaga in order,5ka2ajep9OAvU5Sgduhiex,1VK03kdKyRNc86QkdqFmj9,74
20,Bad Romance,Lady Gaga,The Fame Monster (UK Deluxe),2009,Gaga in order,5WFIK6GKHpNXfjlH3BSnep,1VK03kdKyRNc86QkdqFmj9,42
21,Dancin' In Circles,Lady Gaga,Joanne (Deluxe),2016,Gaga in order,0lqcnnclUdVbPPboOldEPp,1VK03kdKyRNc86QkdqFmj9,49
22,Disease,Lady Gaga,Disease,2024,Gaga in order,19KlZwqlT3fguP2BeHF1Q1,1VK03kdKyRNc86QkdqFmj9,81
23,Venus,Lady Gaga,ARTPOP,2013,Gaga in order,3n3S5cH3IyaOswY2XSUGTS,1VK03kdKyRNc86QkdqFmj9,60
24,Bad Kids,Lady Gaga,Born This Way (International Special Edition Version),2011,Gaga in order,3V0kjls4TwzpkhTfILFiCj,1VK03kdKyRNc86QkdqFmj9,43
25,All I Want,Mis-Teeq,Lickin' On Both Sides,2001,?,40FFyvBiecWpeKjXHgCRsr,2Jla4LLDdGndqCKxP7ZeIo,26
26,Peach Fuzz,"Tyler, The Creator",Peach Fuzz,2018,mmmm,0F58GE2TtHBim5o4ZTQUwK,0a68WVAAQcjjlddZGijvOG,51
27,435,"Tyler, The Creator",435,2018,mmmm,5xJeZ6tLPOXNIrrphEIuay,0a68WVAAQcjjlddZGijvOG,57
28,Small Worlds,Mac Miller,Swimming,2018,mmmm,4gT3mNJA8lnlkYFqGZ8IA2,0a68WVAAQcjjlddZGijvOG,71
29,Atomic Vomit,Steve Lacy,The Lo-Fis,2020,mmmm,3YBfHJTZPHn5DqgMnD6g5g,0a68WVAAQcjjlddZGijvOG,63
30,EARFQUAKE,"Tyler, The Creator",IGOR,2019,mmmm,5hVghJ4KaYES3BFUATCYn0,0a68WVAAQcjjlddZGijvOG,79
31,"Love, of Money",MAVI,Let the Sun Talk,2019,mmmm,6qUkNMd34rjpDP5EUy9JNS,0a68WVAAQcjjlddZGijvOG,59
32,Uuuu,Steve Lacy,The Lo-Fis,2020,mmmm,6M0EP76qW9TG4SNU0agu94,0a68WVAAQcjjlddZGijvOG,71
33,Almeda,Solange,When I Get Home,2019,mmmm,6IAgarq2wDeYzpsY2Kx0Hw,0a68WVAAQcjjlddZGijvOG,58
34,Fazers,King Geedorah,Take Me To Your Leader,2003,mmmm,1R28m5eWk1EV9FQ3puWrUp,0a68WVAAQcjjlddZGijvOG,56
35,Cream,Aaron May,CHASE,2019,mmmm,4O89rUWrGgWYKaHJUOp314,0a68WVAAQcjjlddZGijvOG,62
36,I THINK,"Tyler, The Creator",IGOR,2019,mmmm,4f8Mh5wuWHOsfXtzjrJB3t,0a68WVAAQcjjlddZGijvOG,70
37,Meat Grinder,"Madvillain, Madlib, MF DOOM",Madvillainy,2004,mmmm,4WM1hvYr2NC6bQnQXcj3sH,0a68WVAAQcjjlddZGijvOG,62
38,Top Steppa V2 (feat. Nightmares On Wax),"Greentea Peng, Nightmares On Wax",Top Steppa V2 (feat. Nightmares On Wax),2022,mmmm,4ptwKUD9Tsbi5Tz5MVehvy,0a68WVAAQcjjlddZGijvOG,28
39,DOGTOOTH,"Tyler, The Creator",CALL ME IF YOU GET LOST: The Estate Sale,2023,mmmm,6OfOzTitafSnsaunQLuNFw,0a68WVAAQcjjlddZGijvOG,67
40,Treehome95 (feat. Coco O. & Erykah Badu),"Tyler, The Creator, Coco O., Erykah Badu",Wolf,2013,mmmm,2vLwhcsvRd1f2ETft1kWDN,0a68WVAAQcjjlddZGijvOG,56
41,Biking,"Frank Ocean, JAY-Z, Tyler, The Creator",Biking,2017,mmmm,2q0VexHJirnUPnEOhr2DxK,0a68WVAAQcjjlddZGijvOG,64
42,Can I Call You Rose?,Thee Sacred Souls,Thee Sacred Souls,2022,mmmm,6IAuH3hgTRpUUdmOGubXGS,0a68WVAAQcjjlddZGijvOG,71
